"Date","State","Sector","Mode","Installed Capacity"
"20-07-2019","Odisha","CENTRAL SECTOR","RES","10"
"20-07-2019","Puducherry","STATE SECTOR","Thermal","32.5"
"20-07-2019","Puducherry","STATE SECTOR","Nuclear","0"
"20-07-2019","Puducherry","STATE SECTOR","Hydro","0"
"20-07-2019","Puducherry","STATE SECTOR","RES","0"
"20-07-2019","Puducherry","PVT SECTOR","Thermal","0"
"20-07-2019","Puducherry","PVT SECTOR","Nuclear","0"
"20-07-2019","Puducherry","PVT SECTOR","Hydro","0"
"20-07-2019","Puducherry","PVT SECTOR","RES","3.2"
"20-07-2019","Puducherry","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Puducherry","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Puducherry","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Puducherry","CENTRAL SECTOR","RES","0"
"20-07-2019","Punjab","STATE SECTOR","Thermal","1760"
"20-07-2019","Punjab","STATE SECTOR","Nuclear","0"
"20-07-2019","Punjab","STATE SECTOR","Hydro","1096.3"
"20-07-2019","Punjab","STATE SECTOR","RES","127.8"
"20-07-2019","Punjab","PVT SECTOR","Thermal","3920"
"20-07-2019","Punjab","PVT SECTOR","Nuclear","0"
"20-07-2019","Punjab","PVT SECTOR","Hydro","0"
"20-07-2019","Punjab","PVT SECTOR","RES","1154.62"
"20-07-2019","Punjab","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Punjab","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Punjab","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Punjab","CENTRAL SECTOR","RES","0"
"20-07-2019","Rajasthan","STATE SECTOR","Thermal","7113.8"
"20-07-2019","Rajasthan","STATE SECTOR","Nuclear","0"
"20-07-2019","Rajasthan","STATE SECTOR","Hydro","411"
"20-07-2019","Rajasthan","STATE SECTOR","RES","23.85"
"20-07-2019","Rajasthan","PVT SECTOR","Thermal","2400"
"20-07-2019","Rajasthan","PVT SECTOR","Nuclear","0"
"20-07-2019","Rajasthan","PVT SECTOR","Hydro","0"
